"Company","Specific_Bean_Origin_or_Bar_Name","REF","Review_Date","Cocoa_Percentage","Company_Location","Rating","Broad_Bean_Origin","Chocolate_Type"
"Cacao Barry","Mexico",147,2007,66,"France",3,"Mexico","Deserowa"
"Cacao de Origen","Chuao",1688,2015,77,"Venezuela",3.5,"Venezuela","Gorzka"
"Cacao de Origen","Rio Caribe",1692,2015,75,"Venezuela",3.25,"Venezuela","Gorzka"
"Cacao de Origen","Agua Fria; Sucre region",1391,2014,75,"Venezuela",2.5,"Venezuela","Gorzka"
"Cacao de Origen","Macuare; Miranda; Chloe formula",1391,2014,74,"Venezuela",3.25,"Venezuela","Gorzka"
"Cacao de Origen","Chuao, Aragua region",1391,2014,75,"Venezuela",3.5,"Venezuela","Gorzka"
"Cacao de Origen","Chuao, Aragua region",1395,2014,70,"Venezuela",3.75,"Venezuela","Deserowa"
"Cacao de Origin","Hacienda la Trinidad",1668,2015,74,"Venezuela",3.25,"Venezuela","Gorzka"
"Cacao Hunters","Macondo",1816,2016,71,"Colombia",3.75,"Colombia","Gorzka"
"Cacao Hunters","Perla Negra",1816,2016,74,"Colombia",3.75,"Colombia","Gorzka"
"Cacao Hunters","Arhuacos",1662,2015,72,"Colombia",3.75,"Colombia","Gorzka"
"Cacao Hunters","Sierra Nevada",1430,2014,64,"Colombia",3.5,"Colombia","Deserowa"
"Cacao Hunters","Tumaco",1430,2014,70,"Colombia",3.5,"Colombia","Deserowa"
"Cacao Hunters","Boyaca, Aprocampa Coop, Pauna",1434,2014,69,"Colombia",2.75,"Colombia","Deserowa"
"Cacao Hunters","Arauca",1434,2014,70,"Colombia",3.25,"Colombia","Deserowa"
"Cacao Market","Jutiapa, lot 050916D",1860,2016,70,"U.S.A.",3.5,"Honduras","Deserowa"
"Cacao Prieto","Criollo, Dominican Republic",991,2012,72,"U.S.A.",3.75,"Dominican Republic","Gorzka"
"Cacao Prieto","Dominican Republicm, rustic",641,2011,72,"U.S.A.",3,"Dominican Republic","Gorzka"
"Cacao Prieto","Dominican Republic",641,2011,66,"U.S.A.",3.75,"Dominican Republic","Deserowa"
"Cacao Prieto","Dominican Republic, rustic",647,2011,65,"U.S.A.",3.25,"Dominican Republic","Deserowa"
"Cacao Sampaka","Mahali, Kasai",1908,2016,70,"Spain",3.5,"Congo","Deserowa"
"Cacao Sampaka","Madagascar",508,2010,71,"Spain",3.5,"Madagascar","Gorzka"
"Cacao Sampaka","Ecuador",523,2010,71,"Spain",3.75,"Ecuador","Gorzka"
"Cacao Sampaka","Papua",523,2010,71,"Spain",4,"Papua New Guinea","Gorzka"
"Cacao Sampaka","Grenada",537,2010,71,"Spain",3.25,"Grenada","Gorzka"
"Cacao Sampaka","Venezuela",537,2010,71,"Spain",3.5,"Venezuela","Gorzka"
"Cacao Sampaka","Venezuela",537,2010,77,"Spain",3.5,"Venezuela","Gorzka"
"Cacao Sampaka","Porcelana, Tabasco, La Joya",336,2009,70,"Spain",4,"Mexico","Deserowa"
"Cacao Sampaka","Xoconusco, Chiapas",346,2009,70,"Spain",4,"Mexico","Deserowa"
"Cacao Store","Madagascar",1684,2015,70,"Japan",3,"Madagascar","Deserowa"
"Cacao Store","Peru",1684,2015,70,"Japan",3.25,"Peru","Deserowa"
"Cacao Store","Vietnam",1684,2015,70,"Japan",3.5,"Vietnam","Deserowa"
"Cacaosuyo (Theobroma Inversiones)","Piura",1173,2013,70,"Peru",3.25,"Peru","Deserowa"
"Cacaoyere (Ecuatoriana)","Amazonia",237,2008,63,"Ecuador",3.5,"Ecuador","Deserowa"
"Cacaoyere (Ecuatoriana)","Esmeraldas",237,2008,71,"Ecuador",3.5,"Ecuador","Gorzka"
"Cacaoyere (Ecuatoriana)","Bolivar",245,2008,82,"Ecuador",2.5,"Ecuador","Gorzka"
"Cacaoyere (Ecuatoriana)","Pichincha",259,2008,91,"Ecuador",1.5,"Ecuador","Gorzka"
"Callebaut","Grenade",296,2008,60,"Belgium",2.75,"Grenada","Deserowa"
"Callebaut","Baking",141,2007,70,"Belgium",1,"Ecuador","Deserowa"
"C-Amaro","Cuba",1442,2014,75,"Italy",2.5,"Cuba","Gorzka"
"C-Amaro","Dominican Republic",1442,2014,72,"Italy",3,"Dominican Republic","Gorzka"
"C-Amaro","Lago di Como, Blu",1442,2014,70,"Italy",3.5," ","Deserowa"
"C-Amaro","Ecuador",1185,2013,100,"Italy",3.5,"Ecuador","Gorzka"
"C-Amaro","Venezuela",809,2012,80,"Italy",3,"Venezuela","Gorzka"
"C-Amaro","Sao Tome",749,2011,78,"Italy",2.25,"Sao Tome","Gorzka"
"C-Amaro","Trinidad",765,2011,70,"Italy",2.5,"Trinidad","Deserowa"
"Cao","Porcelana",1804,2016,75,"U.S.A.",2.5,"Venezuela","Gorzka"
"Cao","Tanzania",1804,2016,73,"U.S.A.",2.75,"Tanzania","Gorzka"
"Cao","Porcelana, Batch 5163",1804,2016,70,"U.S.A.",3,"Venezuela","Deserowa"
"Cao","Bolivia",1808,2016,75,"U.S.A.",3,"Bolivia","Gorzka"
"Cao","Brazil",1808,2016,70,"U.S.A.",3.25,"Brazil","Deserowa"
"Caoni (Tulicorp)","Esmeraldas",237,2008,77,"Ecuador",2,"Ecuador","Gorzka"
"Caoni (Tulicorp)","Manabi",237,2008,77,"Ecuador",2.5,"Ecuador","Gorzka"
"Caoni (Tulicorp)","Los Rios",245,2008,77,"Ecuador",2.75,"Ecuador","Gorzka"
"Caoni (Tulicorp)","Manabi",266,2008,55,"Ecuador",3,"Ecuador","Deserowa"
"Caoni (Tulicorp)","Los Rios",269,2008,55,"Ecuador",3.25,"Ecuador","Deserowa"
"Caoni (Tulicorp)","Esmeraldas",269,2008,55,"Ecuador",3.5,"Ecuador","Deserowa"
"Captain Pembleton","Saidor Estate, Madang P.",1263,2014,70,"New Zealand",3.5,"Papua New Guinea","Deserowa"
"Captain Pembleton","Kulili Estate",1263,2014,70,"New Zealand",3.75,"Papua New Guinea","Deserowa"
"Caribeans","Antigua, Special Reserve",1582,2015,72,"Costa Rica",3.5,"Guatemala","Gorzka"
"Caribeans","Talamanca, Raul-Kekoldo community",1586,2015,72,"Costa Rica",3.25,"Costa Rica","Gorzka"
"Caribeans","Anselmo Paraiso Estate",1586,2015,72,"Costa Rica",3.5,"Costa Rica","Gorzka"
"Caribeans","Costa Rica",841,2012,72,"Costa Rica",3,"Costa Rica","Gorzka"
"Caribeans","Costa Rica",845,2012,80,"Costa Rica",2.75,"Costa Rica","Gorzka"
"Carlotta Chocolat","Arauca",1884,2016,65,"Colombia",3,"Colombia","Deserowa"
"Carlotta Chocolat","Tumaco",1888,2016,65,"Colombia",3.25,"Colombia","Deserowa"
"Carlotta Chocolat","Cordoba",1888,2016,65,"Colombia",3.25,"Colombia","Deserowa"
"Carlotta Chocolat","Huila",1888,2016,65,"Colombia",3.5,"Colombia","Deserowa"
"Carlotta Chocolat","Cesar",1888,2016,65,"Colombia",3.5,"Colombia","Deserowa"
"Castronovo","Maya Mtn, Batch 454, Heirloom",1724,2016,72,"U.S.A.",4,"Belize","Gorzka"
"Castronovo","the lost city, gracias a dias, batch 362",1570,2015,72,"U.S.A.",3.5,"Honduras","Gorzka"
"Castronovo","Duarte, Batch 360",1570,2015,70,"U.S.A.",3.75,"Domincan Republic","Deserowa"
"Castronovo","Piaroa, Amazonas, Batch 350",1574,2015,72,"U.S.A.",3.5,"Venezuela","Gorzka"
"Castronovo","Sierra Nevada",1347,2014,72,"U.S.A.",3.5,"Colombia","Gorzka"
"Castronovo","Arauca",1371,2014,76,"U.S.A.",3.5,"Colombia","Gorzka"
"Castronovo","Elvesia P.",1407,2014,70,"U.S.A.",2.75,"Dominican Republic","Deserowa"
"Castronovo","Bolivia",1101,2013,70,"U.S.A.",3,"Bolivia","Deserowa"
"Castronovo","Conacado",1101,2013,73,"U.S.A.",3.5,"Dominican Republic","Gorzka"
"Castronovo","San Martin",1105,2013,70,"U.S.A.",2.5,"Peru","Deserowa"
"Castronovo","Guaniamo, Amazonas",1105,2013,70,"U.S.A.",3.25,"Venezuela","Deserowa"
"Castronovo","Nicaragua",1109,2013,72,"U.S.A.",3.25,"Nicaragua","Gorzka"
"Castronovo","Tumbes",1153,2013,70,"U.S.A.",2.75,"Peru","Deserowa"
"Castronovo","Guaniamo",1153,2013,72,"U.S.A.",3,"Venezuela","Gorzka"
"Cello","Ecuador",1247,2014,70,"U.S.A.",2.5,"Ecuador","Deserowa"
"Cello","Peru",1247,2014,70,"U.S.A.",2.75,"Peru","Deserowa"
"Cello","Venezuela",1251,2014,70,"U.S.A.",2.75,"Venezuela","Deserowa"
"Cello","Bolivia",1251,2014,70,"U.S.A.",3,"Bolivia","Deserowa"
"Cemoi","Equateur",404,2009,72,"France",2.75,"Ecuador","Gorzka"
"Chaleur B","Uganda",1426,2014,70,"Canada",2.75,"Uganda","Deserowa"
"Charm School","Maya Mtn",1900,2016,70,"U.S.A.",3.25,"Belize","Deserowa"
"Chchukululu (Tulicorp)","Arriba",486,2010,55,"Ecuador",2.75,"Ecuador","Deserowa"
"Chchukululu (Tulicorp)","Los Rios",252,2008,75,"Ecuador",3,"Ecuador","Gorzka"
"Chequessett","la Amistad",1235,2014,70,"U.S.A.",3.5,"Costa Rica","Deserowa"
"Chloe Chocolat","Blend No. 1",672,2011,70,"France",3.5," ","Deserowa"
"Chocablog","Ecuador",1454,2015,70,"U.K.",3.25,"Ecuador","Deserowa"
"Choco Del Sol","Maya Mountain w/ nibs",1407,2014,75,"Germany",3,"Belize","Gorzka"
"Choco Del Sol","Maya Mountain",1407,2014,82,"Germany",3.25,"Belize","Gorzka"
"Choco Dong","Mekong Delta, early 2014 Harvest",1696,2015,70,"South Korea",2.75,"Vietnam","Deserowa"
"Choco Dong","Tawau, Oct. 2015 Harvest",1696,2015,70,"South Korea",3.5,"Malaysia","Deserowa"
"Chocolarder","Peru",1482,2015,65,"U.K.",2.5,"Peru","Deserowa"
"Chocolarder","Peru + nibs",1482,2015,65,"U.K.",2.75,"Peru","Deserowa"
"Chocolarder","Dominican Republic",1514,2015,80,"U.K.",2.5,"Dominican Republic","Gorzka"
"Chocola'te","Madagascar",647,2011,70,"U.S.A.",3.75,"Madagascar","Deserowa"
"Chocola'te","Venezuela",647,2011,68,"U.S.A.",3.75,"Venezuela","Deserowa"
"Chocolate Alchemist-Philly","Tumbes, ""Zarumilla""",1772,2016,90,"U.S.A.",2.5,"Peru","Gorzka"
"Chocolate Alchemist-Philly","Philly Blend, 5 plantations",1772,2016,80,"U.S.A.",2.5," ","Gorzka"
"Chocolate Con Amor","Wild Bolivian",1760,2016,70,"U.S.A.",2.5,"Bolivia","Deserowa"
"Chocolate Con Amor","Uganda",1760,2016,70,"U.S.A.",2.75,"Uganda","Deserowa"
"Chocolate Con Amor","Dominican Republic",1764,2016,60,"U.S.A.",3,"Dominican Republic","Deserowa"
"Chocolate Con Amor","Dominican Republic",1764,2016,75,"U.S.A.",3,"Dominican Republic","Gorzka"
"Chocolate Con Amor","Ocumare",1764,2016,80,"U.S.A.",3,"Venezuela","Gorzka"
"Chocolate Con Amor","Ecuador",1764,2016,70,"U.S.A.",3.25,"Ecuador","Deserowa"
"Chocolate Con Amor","Nicaragua",1768,2016,80,"U.S.A.",2.75,"Nicaragua","Gorzka"
"Chocolate Conspiracy","Peru",1259,2014,74,"U.S.A.",2.75,"Peru","Gorzka"
"Chocolate Makers","Tres Hombres",1530,2015,75,"Amsterdam",3.25,"Dominican Republic","Gorzka"
"Chocolate Makers","Congo, Gorilla bar",1530,2015,68,"Amsterdam",3.5,"Congo","Deserowa"
"Chocolate Makers","Peru, Awagum bar",1530,2015,80,"Amsterdam",3.75,"Peru","Gorzka"
"Chocolate Tree, The","Maranon",1582,2015,69,"Scotland",3.75,"Peru","Deserowa"
"Chocolate Tree, The","Carenero Superior",1582,2015,80,"Scotland",3.75,"Venezuela","Gorzka"
"Chocolate Tree, The","Peru",1121,2013,70,"Scotland",3.75,"Peru","Deserowa"
"Chocolate Tree, The","Ecuador",919,2012,82,"Scotland",2.5,"Ecuador","Gorzka"
"Chocolate Tree, The","Peru",919,2012,68,"Scotland",2.75,"Peru","Deserowa"
"Chocolate Tree, The","Madagascar",919,2012,72,"Scotland",3.25,"Madagascar","Gorzka"
"Chocolats Privilege","Xoconusco",1219,2014,70,"Canada",2.5,"Mexico","Deserowa"
"ChocoReko","Patanemo",1454,2015,77,"Japan",3,"Venezuela","Gorzka"
"Chocosol","Chiapas, Lacandon Jungle, Oaxacom Mtn",682,2011,65,"Canada",3.25,"Mexico","Deserowa"
"Chocovic","Xoconusco",478,2010,71,"Spain",3.25,"Mexico","Gorzka"
"Chocovic","Sambirano",478,2010,71,"Spain",3.5,"Madagascar","Gorzka"
"Chocovic","Kendari",439,2009,60,"Spain",3.25," ","Deserowa"
"Chocovic","Tarakan",439,2009,75,"Spain",3.25," ","Gorzka"
"Chocovic","Ocumare",209,2008,71,"Spain",3.5,"Venezuela","Gorzka"
"Chocovic","Bolivar, Guaranda",117,2007,71,"Spain",2.5,"Ecuador","Gorzka"
"Chocovic","Guyave",117,2007,71,"Spain",2.5,"Grenada","Gorzka"
"Chocovic","Maragda",117,2007,70,"Spain",3," ","Deserowa"
"Chocovivo","Tabasco",1522,2015,65,"U.S.A.",2.5,"Mexico","Deserowa"
"Chocovivo","Tabasco",1522,2015,75,"U.S.A.",2.5,"Mexico","Gorzka"
"Choklat","Ocumare",377,2009,80,"Canada",2.5,"Venezuela","Gorzka"
"Choklat","Porcelana, Tabasco",377,2009,70,"Canada",2.75,"Mexico","Deserowa"
"Choklat","Brazilian",377,2009,70,"Canada",3,"Brazil","Deserowa"
"Choklat","Brazilian",377,2009,80,"Canada",3,"Brazil","Gorzka"
"Choklat","Ocumare",377,2009,70,"Canada",3,"Venezuela","Deserowa"
"Chokolat Elot (Girard)","Guadeloupe",1149,2013,42,"Martinique",2.75,"Martinique","Mleczna"
"Choocsol","Chiapas, Lacandon Jungle, Oaxacom Mtn",1832,2016,75,"Canada",3.25,"Mexico","Gorzka"
"Christopher Morel (Felchlin)","Maranon Canyon, Fortunato No. 4",666,2011,68,"Canada",3.75,"Peru","Deserowa"
"Chuao Chocolatier","Choroni",445,2009,61,"U.S.A.",3,"Venezuela","Deserowa"
"Chuao Chocolatier (Pralus)","Chuao",486,2010,77,"U.S.A.",2.75,"Venezuela","Gorzka"
"Claudio Corallo","Terreiro Velho P.",470,2010,73,"Sao Tome",3.75,"Sao Tome & Principe","Gorzka"
"Claudio Corallo","Terreiro Velho P. w/ sugar crystals",209,2008,80,"Sao Tome",3,"Sao Tome & Principe","Gorzka"
"Claudio Corallo","Terreiro Velho P.",227,2008,75,"Sao Tome",4,"Sao Tome & Principe","Gorzka"
"Claudio Corallo","Principe",252,2008,100,"Sao Tome",1,"Sao Tome & Principe","Gorzka"
"Cloudforest","Camino Verde P., Balao, Guayas, 2014",1486,2015,73,"U.S.A.",3.5,"Ecuador","Gorzka"
"Coleman & Davis","Sambirano",1646,2015,75,"U.S.A.",3,"Madagascar","Gorzka"
"Compania de Chocolate (Salgado)","Sur del Lago",579,2010,70,"Argentina",3.25,"Venezuela","Deserowa"
"Compania de Chocolate (Salgado)","Carenero Superior",292,2008,80,"Argentina",2.75,"Venezuela","Gorzka"
"Compania de Chocolate (Salgado)","Moxos",292,2008,72,"Argentina",3.25,"Bolivia","Gorzka"
"Compania de Chocolate (Salgado)","Ocumare",292,2008,70,"Argentina",3.75,"Venezuela","Deserowa"
"Compania de Chocolate (Salgado)","Esmeraldas",296,2008,88,"Argentina",2.75,"Ecuador","Gorzka"
"Condor","Camino Verde",1630,2015,76,"U.S.A.",3.5,"Ecuador","Gorzka"
"Confluence","Tien Giang, 2015, batch 10-2-16",1916,2016,78,"U.S.A.",2.75,"Vietnam","Gorzka"
"Coppeneur","Ecuador, Puristique",1169,2013,65,"Germany",3.25,"Ecuador","Deserowa"
"Coppeneur","Ghana Puristique",813,2012,85,"Germany",3.5,"Ghana","Gorzka"
"Coppeneur","Ecuador Puristique",817,2012,100,"Germany",1.5,"Ecuador","Gorzka"
"Coppeneur","Uba Budo",821,2012,72,"Germany",3.75,"Sao Tome & Principe","Gorzka"
"Coppeneur","Madagascar",959,2012,70,"Germany",3.5,"Madagascar","Deserowa"
"Coppeneur","Grenada",470,2010,72,"Germany",3.25,"Grenada","Gorzka"
"Coppeneur","Chuao",478,2010,70,"Germany",3,"Venezuela","Deserowa"
"Coppeneur","Los Rios, H. Iara",558,2010,72,"Germany",2.5,"Ecuador","Gorzka"
"Coppeneur","Trinidad",558,2010,72,"Germany",3,"Trinidad","Gorzka"
"Coppeneur","Jamaica",558,2010,72,"Germany",3.25,"Jamaica","Gorzka"
"Coppeneur","Ocumare 61",558,2010,72,"Germany",3.25,"Venezuela","Gorzka"
"Coppeneur","Porcelana, Apotequil",341,2009,72,"Germany",3,"Peru","Gorzka"
"Coppeneur","Porcelana, Apotequil",445,2009,62,"Germany",3.25,"Peru","Deserowa"
"Coppeneur","Chuao 100hr",451,2009,70,"Germany",3.5,"Venezuela","Deserowa"
"Coppeneur","Chuao 70hr",451,2009,70,"Germany",3.75,"Venezuela","Deserowa"
"Coppeneur","Porcelana, Tabasco, Mexico",220,2008,72,"Germany",3,"Mexico","Gorzka"
"Coppeneur","Porcelana, Venezuela",220,2008,72,"Germany",3,"Venezuela","Gorzka"
"Coppeneur","Sambirano, Menava P.",196,2007,72,"Germany",3,"Madagascar","Gorzka"
"Cote d' Or (Kraft)","Sensations Intense",48,2006,70,"Belgium",1," ","Deserowa"
"Cravve","New Ireland",1283,2014,70,"Australia",2.5,"Papua New Guinea","Deserowa"
"Cravve","Vanuatu, batch 2410",1335,2014,83,"Australia",2.75,"Vanuatu","Gorzka"
"Cravve","Tanzania, batch a1",971,2012,75,"Australia",3.25,"Tanzania","Gorzka"
"Cravve","Bahia, batch a1213",975,2012,65,"Australia",3.25,"Brazil","Deserowa"
"Cravve","Namau Village, N. Taileva P., batch a2812",975,2012,67,"Australia",3.25,"Fiji","Deserowa"
"Cravve","Vanuatu",975,2012,64,"Australia",3.25,"Vanuatu","Deserowa"
"Cravve","Djual Island",975,2012,75,"Australia",3.5,"Papua New Guinea","Gorzka"
"Creo","""heirloom"", Arriba Nacional",1736,2016,85,"U.S.A.",3.25,"Ecuador","Gorzka"
"Creo","""heirloom"", Arriba Nacional",1736,2016,73,"U.S.A.",3.75,"Ecuador","Gorzka"
"Daintree","Goodman Estate",1654,2015,70,"Australia",2.75,"Australia","Deserowa"
"Daintree","Daintree Estates, N. Queensland",785,2011,70,"Australia",3.25,"Australia","Deserowa"
"Dalloway","Dominican Republic, batch 7",1928,2017,72,"U.S.A.",2.75,"Dominican Republic","Gorzka"
"Damson","Robson Estate",1610,2015,70,"U.K.",3,"Trinidad","Deserowa"
"Damson","Los Rios",1610,2015,70,"U.K.",3.5,"Ecuador","Deserowa"
"Damson","Crayfish Bay aka Non Pariel Estate",1666,2015,70,"U.K.",2.25,"Grenada","Deserowa"
"Damson","O'Payo",1666,2015,70,"U.K.",2.75,"Nicaragua","Deserowa"
"Dandelion","Zorzal Reserva, 2015 H., Kerchner",1816,2016,70,"U.S.A.",3.75," ","Deserowa"
"Dandelion","Maya Mtn., Break Bar- Snark",1446,2015,70,"U.S.A.",3,"Belize","Deserowa"
"Dandelion","Maya Mountain",1219,2014,70,"U.S.A.",3.5,"Belize","Deserowa"
"Dandelion","Camino Verde P., Balao, Guayas, 2013",1295,2014,70,"U.S.A.",3.5,"Ecuador","Deserowa"
"Dandelion","Buto",1303,2014,70,"U.S.A.",2.75,"Liberia","Deserowa"
"Dandelion","San Francisco de Macoris, Cibao region",1387,2014,70,"U.S.A.",3.75,"Dominican Republic","Deserowa"
"Dandelion","Cumboto, farmer Jose Lugo",1026,2013,70,"U.S.A.",2.75,"Venezuela","Deserowa"
"Dandelion","Patanemo",1026,2013,70,"U.S.A.",3.25,"Venezuela","Deserowa"
"Dandelion","Mantuano, 2012",1085,2013,70,"U.S.A.",3.5,"Venezuela","Deserowa"
"Dandelion","Papua New Guinea",1153,2013,70,"U.S.A.",3.5,"Papua New Guinea","Deserowa"
"Dandelion","Upala",805,2012,70,"U.S.A.",3,"Costa Rica","Deserowa"
"Dandelion","Colombian",805,2012,70,"U.S.A.",3.25,"Colombia","Deserowa"
"Dandelion","Elvesia, 2011",915,2012,70,"U.S.A.",3.75,"Dominican Republic","Deserowa"
"Dandelion","Dominican Republic",654,2011,70,"U.S.A.",3.25,"Dominican Republic","Deserowa"
"Dandelion","Madagascar",654,2011,70,"U.S.A.",3.25,"Madagascar","Deserowa"
"Dandelion","Tanzania",654,2011,70,"U.S.A.",3.25,"Tanzania","Deserowa"
"Danta","Los Ujuxtes",1223,2014,82,"Guatemala",3.25,"Guatemala","Gorzka"
"Danta","Chuao",987,2012,75,"Guatemala",3,"Venezuela","Gorzka"
"Danta","Los Ujuxtes",987,2012,70,"Guatemala",3.75,"Guatemala","Deserowa"
"Danta","Sambirano",987,2012,70,"Guatemala",3.75,"Madagascar","Deserowa"
"Danta","Las Acacias E.",987,2012,70,"Guatemala",4,"Guatemala","Deserowa"
"Danta","Oscuro, Finca Chimelb",991,2012,70,"Guatemala",3.25,"Guatemala","Deserowa"
"Danta","Los Ujuxtes",661,2011,60,"Guatemala",3.5,"Guatemala","Deserowa"
"Danta","Las Acacias E.",423,2009,75,"Guatemala",3,"Guatemala","Gorzka"
"Danta","Las Acacias E.",423,2009,60,"Guatemala",3.25,"Guatemala","Deserowa"
"DAR","Venezuela, batch 122",1920,2016,72,"U.S.A.",2.75,"Venezuela","Gorzka"
"DAR","Vietnam",1920,2016,72,"U.S.A.",3,"Vietnam","Gorzka"
"DAR","DUO, batch 002",1920,2016,70,"U.S.A.",3.25,"Ecuador, Costa Rica","Deserowa"
"Dark Forest","Bolivia",1708,2016,75,"U.S.A.",3.25,"Bolivia","Gorzka"
"Dark Forest","Madagascar",1550,2015,70,"U.S.A.",3,"Madagascar","Deserowa"
"Dark Forest","Ocumare",1550,2015,70,"U.S.A.",3.25,"Venezuela","Deserowa"
"Dark Forest","Tanzania",1554,2015,70,"U.S.A.",3,"Tanzania","Deserowa"
"Dark Forest","Ecuador",1554,2015,70,"U.S.A.",3.25,"Ecuador","Deserowa"
"Davis","Ghana",1093,2013,70,"U.S.A.",2.5,"Ghana","Deserowa"
"Davis","Rainforest",1093,2013,70,"U.S.A.",2.75,"Dominican Republic","Deserowa"
"Davis","Venezuela",1093,2013,70,"U.S.A.",2.75,"Venezuela","Deserowa"
"Davis","West Africa",907,2012,58,"U.S.A.",3.25,"West Africa","Deserowa"
"De Mendes","Nativo, Varzea",1462,2015,72,"Brazil",3.5,"Brazil","Gorzka"
"De Mendes","Selvagem, Jari",1462,2015,65,"Brazil",3.5,"Brazil","Deserowa"
"De Villiers","Bundibugyo District",1832,2016,70,"South Africa",2.5,"Uganda","Deserowa"
"De Villiers","Sambirano Valley, batch 2477",1832,2016,70,"South Africa",3,"Madagascar","Deserowa"
"Dean and Deluca (Belcolade)","Madagascar",170,2007,66,"U.S.A.",2.5,"Madagascar","Deserowa"
"Dean and Deluca (Belcolade)","Costa Rica",175,2007,64,"U.S.A.",3,"Costa Rica","Deserowa"
"Dean and Deluca (Belcolade)","Ecuador",175,2007,71,"U.S.A.",3,"Ecuador","Gorzka"
"Dean and Deluca (Belcolade)","Ghana",175,2007,60,"U.S.A.",3,"Ghana","Deserowa"
"Dean and Deluca (Belcolade)","Papua New Guinea",180,2007,64,"U.S.A.",3,"Papua New Guinea","Deserowa"
"Dean and Deluca (Belcolade)","Peru",180,2007,64,"U.S.A.",3,"Peru","Deserowa"
"Debauve & Gallais (Michel Cluizel)","Papua New Guinea",423,2009,64,"France",3,"Papua New Guinea","Deserowa"
"Debauve & Gallais (Michel Cluizel)","Venezuela",263,2008,66,"France",3.75,"Venezuela","Deserowa"
"Desbarres","Kilombero, batch 41",1916,2016,72,"Canada",2.5,"Tanzania","Gorzka"
"DeVries","Bolivian",241,2008,80,"U.S.A.",2.75,"Bolivia","Gorzka"
"DeVries","Costa Rica",166,2007,77,"U.S.A.",3.5,"Costa Rica","Gorzka"
"DeVries","Dominican Republic",166,2007,77,"U.S.A.",3.5,"Dominican Republic","Gorzka"
"Dick Taylor","Lanquin Estate",1952,2017,70,"U.S.A.",3.75,"Guatemala","Deserowa"
"Dick Taylor","Tien Giang",1864,2016,78,"U.S.A.",3.5,"Vietnam","Gorzka"
"Dick Taylor","Alto Beni, Wild Harvest, Limited Ed.",1634,2015,70,"U.S.A.",3.75,"Bolivia","Deserowa"
"Dick Taylor","Elvesia",1235,2014,74,"U.S.A.",3.5,"Dominican Republic","Gorzka"
"Dick Taylor","Ecuador, Choc. Garage Exclusive",1034,2013,70,"U.S.A.",3.25,"Ecuador","Deserowa"
"Dick Taylor","Camino Verde",1193,2013,76,"U.S.A.",3.5,"Ecuador","Gorzka"
"Dick Taylor","Bolivia",895,2012,75,"U.S.A.",2.75,"Bolivia","Gorzka"
"Dick Taylor","Belize",955,2012,72,"U.S.A.",2.75,"Belize","Gorzka"
"Dick Taylor","Sambirano",661,2011,80,"U.S.A.",2.75,"Madagascar","Gorzka"
"Dick Taylor","Sambirano",661,2011,72,"U.S.A.",3,"Madagascar","Gorzka"
"Dick Taylor","Mantuano",682,2011,75,"U.S.A.",2.75,"Venezuela","Gorzka"
"Dick Taylor","La Red",769,2011,74,"U.S.A.",3,"Dominican Republic","Gorzka"
"Dick Taylor","Ecuador",769,2011,70,"U.S.A.",3.25,"Ecuador","Deserowa"
"Doble & Bignall","Puerto Cabello",1688,2015,85,"U.K.",3,"Venezuela","Gorzka"
"Doble & Bignall","Panama, Raven",1371,2014,72,"U.K.",3.25,"Panama","Gorzka"
"Doble & Bignall","Puerto Cabello, Mantuano",1371,2014,72,"U.K.",3.25,"Venezuela","Gorzka"
"Doble & Bignall","Johe",1407,2014,72,"U.K.",3.5,"Nicaragua","Gorzka"
"Dole (Guittard)","O'ahu, N. Shore, Waialua Estate",311,2009,70,"U.S.A.",3.75,"Hawaii","Deserowa"
"Dolfin (Belcolade)","Africa",304,2008,88,"Belgium",3,"West Africa","Gorzka"
"Dolfin (Belcolade)","Noir",63,2006,70,"Belgium",1.5," ","Deserowa"
"Domori","Hacienda Victoria",1672,2015,70,"Italy",3.75,"Ecuador","Deserowa"
"Domori","Ocumare 77",1672,2015,70,"Italy",3.75,"Venezuela","Deserowa"
"Domori","IL100, H. San Jose",1109,2013,100,"Italy",3,"Venezuela","Gorzka"
"Domori","Morogoro",863,2012,70,"Italy",3.5,"Tanzania","Deserowa"
"Domori","Guasare",863,2012,70,"Italy",3.75,"Venezuela","Deserowa"
"Domori","Canoabo, Hacienda San Jose",693,2011,70,"Italy",3.5,"Venezuela","Deserowa"
"Domori","Chuao, Hacienda San Jose",470,2010,70,"Italy",3,"Venezuela","Deserowa"
"Domori","Carupano, H. San Jose",227,2008,70,"Italy",3,"Venezuela","Deserowa"
"Domori","Teyuna",272,2008,70,"Italy",3,"Colombia","Deserowa"
"Domori","Blend No. 1",272,2008,78,"Italy",3.5," ","Gorzka"
"Domori","Ilblend",272,2008,70,"Italy",3.75," ","Deserowa"
"Domori","Porcelana",111,2007,70,"Italy",4,"Venezuela","Deserowa"
"Domori","Ocumare 61, Puertomar",129,2007,75,"Italy",3.25,"Venezuela","Gorzka"
"Domori","Granella",135,2007,60,"Italy",3.25,"Venezuela","Deserowa"
"Domori","Madagascar",135,2007,70,"Italy",3.5,"Madagascar","Deserowa"
"Domori","Madagared",192,2007,70,"Italy",3.5,"Madagascar","Deserowa"
